Results,GBP/USD Close,GBP/USD High,GBP/USD Low
Average,  1.612,  1.617,  1.608
Minimum,   1.471,   1.485,   1.463
Maximum,   1.717,   1.719,   1.714
Std,   0.072,   0.070,   0.073
# In Calc, 258, 258, 258

Date,GBP/USD Close,GBP/USD High,GBP/USD Low
2014-05-29,1.6713,1.6741,1.6689
2014-05-30,1.6761,1.6777,1.6712
2014-06-02,1.6744,1.677,1.672
2014-06-03,1.6746,1.6782,1.6726
2014-06-04,1.6741,1.6769,1.6694
2014-06-05,1.6811,1.6825,1.672
2014-06-06,1.6806,1.6845,1.6776
2014-06-09,1.6793,1.6832,1.6779
2014-06-10,1.6756,1.6817,1.674
2014-06-11,1.6793,1.6811,1.6737
2014-06-12,1.6832,1.686,1.6784
2014-06-13,1.6968,1.6992,1.6918
2014-06-19,1.7035,1.7063,1.698
2014-06-20,1.7013,1.7061,1.6999
2014-06-23,1.7025,1.7049,1.6997
2014-06-24,1.6978,1.7032,1.6961
2014-06-25,1.6979,1.7005,1.6948
2014-06-26,1.7022,1.704,1.6967
2014-06-27,1.7031,1.7051,1.7002
2014-06-30,1.7114,1.7115,1.7004
2014-07-01,1.7152,1.7166,1.7091
2014-07-02,1.7165,1.7177,1.7135
2014-07-03,1.7147,1.7165,1.7097
2014-07-04,1.7149,1.718,1.7127
2014-07-07,1.7128,1.7168,1.7104
2014-07-08,1.7131,1.7148,1.7081
2014-07-09,1.7152,1.7161,1.709
2014-07-10,1.7136,1.7168,1.7101
2014-07-11,1.7115,1.7151,1.7095
2014-07-14,1.708,1.7144,1.7065
2014-07-15,1.7144,1.7191,1.7055
2014-07-16,1.7135,1.7151,1.7115
2014-07-17,1.7109,1.7144,1.7086
2014-07-18,1.7085,1.7117,1.7037
2014-07-21,1.7075,1.7099,1.7056
2014-07-22,1.7061,1.7083,1.7042
2014-07-23,1.7032,1.7095,1.7025
2014-07-24,1.6985,1.7053,1.6966
2014-07-25,1.6977,1.6998,1.6962
2014-07-28,1.6983,1.7001,1.6973
2014-07-29,1.6944,1.6995,1.6934
2014-07-30,1.6909,1.6955,1.689
2014-07-31,1.6883,1.6926,1.6857
2014-08-01,1.6823,1.6893,1.6814
2014-08-04,1.6858,1.6859,1.6814
2014-08-05,1.6877,1.6888,1.6845
2014-08-06,1.6852,1.6884,1.6822
2014-08-07,1.6835,1.6864,1.6824
2014-08-08,1.6777,1.6834,1.6767
2014-08-11,1.6788,1.6796,1.6771
2014-08-12,1.6811,1.6815,1.6757
2014-08-13,1.6688,1.6844,1.6686
2014-08-14,1.6688,1.6697,1.6657
2014-08-15,1.6694,1.6702,1.6677
2014-08-18,1.6728,1.6738,1.6713
2014-08-19,1.6619,1.6728,1.6612
2014-08-20,1.6601,1.6679,1.6591
2014-08-21,1.6581,1.6601,1.6564
2014-08-22,1.6573,1.6597,1.6562
2014-08-25,1.658,1.6598,1.6518
2014-08-26,1.6547,1.6595,1.6544
2014-08-27,1.6577,1.6605,1.6537
2014-08-28,1.6589,1.6614,1.6568
2014-08-29,1.6601,1.6613,1.6563
2014-09-01,1.6618,1.6644,1.6586
2014-09-02,1.6475,1.6615,1.6473
2014-09-03,1.6455,1.6498,1.644
2014-09-04,1.6342,1.6466,1.6333
2014-09-05,1.6328,1.634,1.6283
2014-09-08,1.611,1.6233,1.6103
2014-09-09,1.6107,1.6157,1.606
2014-09-10,1.6194,1.623,1.6052
2014-09-11,1.622,1.627,1.6186
2014-09-12,1.6258,1.6274,1.6205
2014-09-15,1.6231,1.6278,1.6221
2014-09-16,1.6275,1.6311,1.6162
2014-09-17,1.6263,1.6358,1.625
2014-09-18,1.6375,1.6409,1.6247
2014-09-19,1.631,1.6525,1.6297
2014-09-22,1.6358,1.6366,1.6289
2014-09-23,1.6401,1.6416,1.6303
2014-09-24,1.6342,1.6413,1.6328
2014-09-25,1.6316,1.6342,1.6276
2014-09-26,1.6246,1.6333,1.6238
2014-09-29,1.6247,1.6274,1.6215
2014-09-30,1.6208,1.6287,1.6166
2014-10-01,1.6182,1.6252,1.6162
2014-10-02,1.6141,1.625,1.6113
2014-10-03,1.5975,1.6159,1.5952
2014-10-06,1.6078,1.6099,1.5953
2014-10-07,1.6104,1.6129,1.6027
2014-10-08,1.6153,1.617,1.6032
2014-10-09,1.6112,1.6227,1.6105
2014-10-10,1.6051,1.6135,1.6009
2014-10-13,1.6071,1.6126,1.6051
2014-10-14,1.5908,1.608,1.5898
2014-10-15,1.5962,1.6069,1.5875
2014-10-16,1.6077,1.6086,1.5942
2014-10-17,1.6095,1.6126,1.603
