Results,EUR/USD Close,EUR/USD High,EUR/USD Low
Average,  1.288,  1.293,  1.283
Minimum,   1.206,   1.214,   1.204
Maximum,   1.365,   1.371,   1.357
Std,   0.035,   0.035,   0.035
# In Calc, 260, 260, 260

Date,EUR/USD Close,EUR/USD High,EUR/USD Low
2012-08-07,1.2405,1.2442,1.2373
2012-08-08,1.2358,1.2402,1.2326
2012-08-09,1.2292,1.2387,1.2266
2012-08-10,1.2293,1.2317,1.2242
2012-08-13,1.2332,1.2374,1.2258
2012-08-14,1.2324,1.2386,1.2314
2012-08-15,1.2287,1.2344,1.226
2012-08-16,1.2362,1.2373,1.2256
2012-08-17,1.2318,1.2382,1.2288
2012-08-20,1.2344,1.237,1.2294
2012-08-21,1.2465,1.2488,1.2347
2012-08-22,1.2518,1.2538,1.2432
2012-08-23,1.2561,1.259,1.2524
2012-08-24,1.2516,1.2569,1.2482
2012-08-27,1.2496,1.2536,1.249
2012-08-28,1.2563,1.2577,1.2466
2012-08-29,1.2528,1.2574,1.2518
2012-08-30,1.2515,1.2564,1.2487
2012-08-31,1.2578,1.2637,1.2494
2012-09-03,1.2593,1.2611,1.2554
2012-09-04,1.257,1.2628,1.2554
2012-09-05,1.2598,1.2624,1.2501
2012-09-06,1.2639,1.2652,1.256
2012-09-07,1.2798,1.2807,1.2623
2012-09-10,1.2761,1.2812,1.2755
2012-09-11,1.2855,1.2871,1.2758
2012-09-12,1.2895,1.2937,1.2816
2012-09-13,1.2988,1.3002,1.2855
2012-09-14,1.3122,1.3169,1.2977
2012-09-17,1.3101,1.3172,1.3081
2012-09-18,1.3035,1.3119,1.3027
2012-09-19,1.3056,1.3085,1.2991
2012-09-20,1.2969,1.3059,1.2919
2012-09-21,1.2989,1.3048,1.2955
2012-09-24,1.2927,1.299,1.289
2012-09-25,1.2906,1.2971,1.2886
2012-09-26,1.2857,1.2913,1.2836
2012-09-27,1.2914,1.2928,1.2829
2012-09-28,1.2844,1.296,1.2838
2012-10-01,1.288,1.2939,1.2804
2012-10-02,1.2919,1.2968,1.288
2012-10-03,1.29,1.2937,1.2878
2012-10-04,1.3014,1.3031,1.2908
2012-10-05,1.3017,1.3071,1.2994
2012-10-08,1.2972,1.3027,1.2938
2012-10-09,1.2873,1.2991,1.2858
2012-10-10,1.2894,1.2913,1.2836
2012-10-11,1.293,1.2952,1.2826
2012-10-12,1.2956,1.2992,1.2923
2012-10-15,1.2951,1.298,1.2891
2012-10-16,1.3045,1.3061,1.2943
2012-10-17,1.3123,1.314,1.3084
2012-10-18,1.3068,1.313,1.3054
2012-10-19,1.3021,1.3078,1.3012
2012-10-22,1.3049,1.3083,1.3016
2012-10-23,1.2977,1.3076,1.2951
2012-10-24,1.2964,1.2997,1.292
2012-10-25,1.2945,1.3023,1.2938
2012-10-26,1.2934,1.2956,1.2883
2012-10-29,1.2898,1.2968,1.2883
2012-10-30,1.2962,1.2983,1.2886
2012-10-31,1.292,1.302,1.2942
2012-11-01,1.2936,1.2983,1.2923
2012-11-02,1.2832,1.2951,1.2819
2012-11-05,1.2794,1.2842,1.2766
2012-11-06,1.281,1.2827,1.2763
2012-11-07,1.2765,1.2876,1.2734
2012-11-08,1.2745,1.278,1.2717
2012-11-09,1.2711,1.279,1.2689
2012-11-12,1.271,1.2739,1.2698
2012-11-13,1.2705,1.2728,1.2662
2012-11-14,1.2732,1.2779,1.27
2012-11-15,1.2763,1.2802,1.2718
2012-11-16,1.2734,1.2785,1.2691
2012-11-19,1.2804,1.282,1.2734
2012-11-20,1.2815,1.283,1.2765
2012-11-21,1.2825,1.2833,1.2737
2012-11-22,1.2871,1.2899,1.2826
2012-11-23,1.2982,1.2991,1.2869
2012-11-26,1.297,1.2985,1.2945
2012-11-27,1.2932,1.3009,1.2914
2012-11-28,1.2934,1.2946,1.2879
2012-11-29,1.2973,1.3014,1.2939
2012-11-30,1.3006,1.3027,1.2966
2012-12-03,1.3051,1.3076,1.2973
2012-12-04,1.3098,1.3108,1.3046
2012-12-05,1.3079,1.3126,1.3058
2012-12-06,1.2965,1.3087,1.2951
2012-12-07,1.2927,1.2974,1.2877
2012-12-10,1.2935,1.2943,1.2885
2012-12-11,1.3002,1.3015,1.2929
2012-12-12,1.3064,1.3097,1.2996
2012-12-13,1.3073,1.31,1.3041
2012-12-14,1.3154,1.3173,1.3066
2012-12-17,1.316,1.3188,1.3143
2012-12-18,1.3224,1.3238,1.3156
2012-12-19,1.3247,1.3308,1.3223
2012-12-20,1.3243,1.3295,1.3189
2012-12-21,1.3178,1.3252,1.3154
2012-12-24,1.3173,1.3234,1.317
2012-12-25,1.3191,1.3207,1.3167
2012-12-26,1.3218,1.3254,1.3167
2012-12-27,1.3242,1.3284,1.3199
2012-12-28,1.3219,1.3257,1.3166
2012-12-31,1.3188,1.3235,1.317
2013-01-01,1.3219,1.322,1.319
2013-01-02,1.3177,1.3299,1.3154
2013-01-03,1.305,1.3191,1.3049
2013-01-04,1.308,1.3089,1.2995
2013-01-07,1.3106,1.3119,1.3016
2013-01-08,1.3083,1.314,1.3057
2013-01-09,1.3064,1.3096,1.3035
2013-01-10,1.3254,1.3266,1.3039
2013-01-11,1.3334,1.3365,1.3246
2013-01-14,1.3387,1.3404,1.3336
2013-01-15,1.3311,1.3394,1.3264
2013-01-16,1.3282,1.3325,1.3256
2013-01-17,1.3374,1.3388,1.327
2013-01-18,1.3318,1.34,1.3279
2013-01-21,1.3317,1.3332,1.33
2013-01-22,1.3313,1.3371,1.3267
2013-01-23,1.3315,1.3355,1.3264
2013-01-24,1.3375,1.3393,1.3287
2013-01-25,1.3458,1.348,1.335
2013-01-28,1.3454,1.3477,1.3425
2013-01-29,1.3491,1.3497,1.3413
2013-01-30,1.3566,1.3587,1.3482
2013-01-31,1.3577,1.3594,1.3538
2013-02-01,1.3651,1.3711,1.3574
2013-02-04,1.3511,1.3659,1.3503
2013-02-05,1.3584,1.3597,1.3459
2013-02-06,1.3522,1.3596,1.3494
2013-02-07,1.3396,1.3577,1.3371
2013-02-08,1.3363,1.3429,1.335
2013-02-11,1.3398,1.3427,1.3337
2013-02-12,1.3447,1.3475,1.3364
2013-02-13,1.345,1.352,1.3424
2013-02-14,1.3354,1.3456,1.3315
2013-02-15,1.3362,1.3393,1.3304
2013-02-18,1.3349,1.3379,1.3322
2013-02-19,1.339,1.3396,1.3326
2013-02-20,1.3283,1.3434,1.3273
2013-02-21,1.3182,1.329,1.316
2013-02-22,1.3184,1.3245,1.3146
2013-02-25,1.3089,1.3318,1.3069
2013-02-26,1.3054,1.3122,1.3019
2013-02-27,1.3136,1.314,1.3042
2013-02-28,1.3064,1.3162,1.305
2013-03-01,1.3024,1.3101,1.2965
2013-03-04,1.3017,1.3031,1.298
2013-03-05,1.3039,1.3075,1.3011
2013-03-06,1.2991,1.3071,1.2983
2013-03-07,1.3106,1.3118,1.2967
2013-03-08,1.2997,1.3134,1.2954
2013-03-11,1.3031,1.3043,1.298
2013-03-12,1.3034,1.3074,1.2991
2013-03-13,1.296,1.3065,1.2921
2013-03-14,1.3005,1.3032,1.291
2013-03-15,1.3059,1.3107,1.3
2013-03-18,1.2934,1.3071,1.2882
2013-03-19,1.2888,1.297,1.2843
2013-03-20,1.294,1.2978,1.2857
2013-03-21,1.2904,1.2955,1.288
2013-03-22,1.2981,1.301,1.2889
2013-03-25,1.2857,1.3048,1.283
2013-03-26,1.2858,1.289,1.2829
2013-03-27,1.277,1.2867,1.2751
2013-03-28,1.2817,1.2845,1.2756
2013-03-29,1.2813,1.2837,1.2794
