Results,USD/JPY Close,USD/JPY High,USD/JPY Low
Average,110.009,110.356,109.552
Minimum, 101.241, 101.388, 100.798
Maximum, 121.420, 122.023, 121.135
Std,   7.688,   7.804,   7.533
# In Calc, 258, 258, 258

Date,USD/JPY Close,USD/JPY High,USD/JPY Low
2014-08-12,102.226,102.363,102.094
2014-08-13,102.456,102.545,102.226
2014-08-14,102.436,102.657,102.312
2014-08-15,102.342,102.716,102.139
2014-08-18,102.54,102.595,102.2
2014-08-19,102.89,102.92,102.523
2014-08-20,103.716,103.745,102.907
2014-08-21,103.81,103.959,103.601
2014-08-22,103.941,104.193,103.504
2014-08-25,103.982,104.46,103.864
2014-08-26,104.08,104.172,103.751
2014-08-27,103.86,104.161,103.782
2014-08-28,103.661,103.921,103.558
2014-08-29,104.037,104.107,103.658
2014-09-01,104.252,104.307,104.073
2014-09-02,105.06,105.213,104.298
2014-09-03,104.818,105.31,104.761
2014-09-04,105.119,105.365,104.761
2014-09-05,105.07,105.706,104.686
2014-09-08,105.99,106.087,104.947
2014-09-09,106.201,106.473,105.947
2014-09-10,106.8,106.885,106.044
2014-09-11,107.09,107.199,106.643
2014-09-12,107.314,107.396,107.016
2014-09-15,107.174,107.367,107.011
2014-09-16,107.16,107.332,106.811
2014-09-17,108.313,108.346,107.105
2014-09-18,108.751,108.959,108.376
2014-09-19,108.958,109.46,108.595
2014-09-22,108.792,109.194,108.668
2014-09-23,108.887,108.993,108.255
2014-09-24,108.987,109.02,108.462
2014-09-25,108.65,109.372,108.525
2014-09-26,109.303,109.539,108.48
2014-09-29,109.45,109.74,109.13
2014-09-30,109.685,109.848,109.187
2014-10-01,109.06,110.09,108.99
2014-10-02,108.39,109.12,108.01
2014-10-03,109.739,109.902,108.372
2014-10-06,108.823,109.852,108.657
2014-10-07,107.951,109.233,107.823
2014-10-08,108.273,108.742,107.757
2014-10-09,107.944,108.317,107.531
2014-10-10,107.761,108.154,107.624
2014-10-13,107.098,107.607,107.064
2014-10-14,107.001,107.311,106.673
2014-10-15,106.12,107.496,105.2
2014-10-16,106.398,106.404,105.506
2014-10-17,106.872,106.894,106.136
2014-10-20,106.8,107.392,106.784
2014-10-21,106.9,107.01,106.25
2014-10-22,107.165,107.374,106.792
2014-10-23,108.175,108.352,107.108
2014-10-24,108.09,108.3,107.79
2014-10-27,107.74,108.367,107.608
2014-10-28,108.135,108.172,107.697
2014-10-29,108.843,108.946,107.944
2014-10-30,109.228,109.464,108.751
2014-10-31,112.258,112.475,109.178
2014-11-03,113.791,114.213,112.573
2014-11-04,113.602,114.044,113.171
2014-11-05,114.718,114.842,113.419
2014-11-06,115.13,115.516,114.064
2014-11-07,114.585,115.585,114.257
2014-11-10,114.879,114.908,113.862
2014-11-11,115.381,116.103,114.639
2014-11-12,115.572,116.009,114.885
2014-11-13,115.679,115.882,115.312
2014-11-14,116.31,116.825,115.728
2014-11-17,116.432,117.052,115.46
2014-11-18,116.913,117.048,116.344
2014-11-19,117.98,118.079,116.819
2014-11-20,118.016,118.977,117.744
2014-11-21,117.77,118.368,117.357
2014-11-24,118.262,118.483,117.583
2014-11-25,117.93,118.579,117.692
2014-11-26,117.728,117.981,117.441
2014-11-27,117.756,117.883,117.241
